target,panel,energy,genes_z3,cells
ARL14,False,19.3168,467,1696
ARL14EP,True,27.6061,385,874
ARL15,False,19.5379,553,1114
ARL16,False,24.8715,731,1167
ARL17A,False,28.5672,404,374
ARL17B,False,20.7966,698,1721
ARL2,False,117.228,2038,618
ARL2BP,False,22.9264,300,867
ARL3,False,18.2452,205,1166
ARL4A,False,25.7822,748,1523
ARL4C,False,101.489,3571,5506
ARL4D,False,37.363,818,1488
ARL5A,False,16.6858,411,1440
ARL5B,False,87.9204,2482,3842
ARL6,False,18.7633,207,798
ARL6IP1,False,21.2526,1011,1441
ARL6IP4,False,19.4345,825,1935
ARL6IP5,False,22.0771,557,1520
ARL6IP6,False,35.6684,1088,2408
ARL8A,False,22.7129,601,1921
ARL8B,False,22.7737,1224,2285
ARL9,False,12.9925,582,3742
ARMC1,False,15.8344,252,1490
ARMC10,False,14.4058,434,2097
ARMC12,False,16.1709,346,1611
ARMC2,False,18.1767,778,2786
ARMC5,False,18.5397,351,998
ARMC6,False,27.746,282,703
ARMC7,False,84.018,119,113
ARMC8,False,126.001,3516,3832
ARMCX2,False,23.2052,531,2026
ARMCX3,False,32.4849,795,1645
ARMCX4,False,26.0793,530,968
ARMCX5,False,14.3126,349,1781
ARMCX6,False,29.3623,797,1584
ARMH1,False,20.4682,354,1298
ARMH2,False,17.2344,382,1721
ARMH3,False,29.5117,768,705
ARMT1,False,15.209,289,1574
ARNT,False,157.699,3739,2640
ARNT2,False,20.0585,349,1465
ARPC1A,False,18.7348,684,1972
ARPC1B,False,23.7821,678,1229
ARPC2,False,80.8731,1270,600
ARPC3,False,53.0735,777,648
ARPC4-TTLL3,False,64.837,2605,4108
ARPC5,False,30.1736,1175,2567
ARPC5L,False,21.4239,476,1626
ARPP19,False,33.8072,314,575
ARRB1,False,15.2049,494,1862
ARRB2,False,113.526,382,148
ARRDC1,False,27.6037,1380,1816
ARRDC2,False,16.8216,575,2289
ARRDC3,False,23.0963,873,2704
ARRDC4,False,205.385,1400,349
ARRDC5,False,28.0858,401,930
ARSA,False,24.5324,514,998
ARSB,False,33.723,150,357
ARSG,False,18.1371,449,1717
ARSK,False,24.7973,1007,1625
ARV1,False,52.4666,1918,3526
ARX,False,27.1405,340,746
ASAH1,False,15.1798,246,1146
ASAH2B,False,29.6631,950,1390
ASAP1,False,32.3337,365,723
ASAP2,False,24.4081,700,1141
ASAP3,False,19.6689,654,3715
ASB1,False,30.2815,1266,2808
ASB13,False,33.6229,773,1123
ASB14,False,20.0866,236,704
ASB16,False,29.3045,1144,2422
ASB2,False,15.0763,361,2373
ASB3,False,20.6021,968,2674
ASB6,False,84.3753,114,61
ASB7,False,31.4047,557,1287
ASB8,False,16.4329,517,1883
ASCC1,False,23.5894,400,1016
ASCC2,True,40.9734,854,1248
ASCC3,False,56.9464,365,136
ASCL1,False,21.4017,1011,2675
ASCL2,False,16.0526,538,2185
ASCL3,False,17.9159,321,1284
ASCL4,False,34.4996,1042,1870
ASCL5,False,20.7349,832,2359
ASF1A,False,25.5413,879,2294
ASF1B,False,41.2489,168,177
ASH1L,False,19.6729,558,1082
ASH2L,False,255.015,196,13
ASIC1,False,14.9975,480,2901
ASIC3,False,15.634,586,2104
ASL,False,16.2167,264,1463
ASMTL,False,22.0043,793,2243
ASNS,False,18.6405,504,1546
ASNSD1,False,23.9924,221,773
ASPH,False,23.2341,408,1266
ASPHD2,False,16.7927,524,2096
ASPM,False,16.3774,575,2440
ASPRV1,False,25.5774,1013,2872
ASPSCR1,False,20.1609,805,2985
ASRGL1,False,38.6508,551,995
ASTE1,False,13.2795,479,2278
ASTL,False,16.8441,674,2305
ASXL1,False,34.5674,1818,2786
ASXL2,False,25.2515,1521,2390
ATAD1,False,19.1274,761,2748
ATAD2,False,14.75,296,1498
ATAD2B,False,24.0091,653,1569
ATAD3A,False,24.343,1035,1513
ATAD3B,False,37.7038,413,806
ATAD5,False,214.555,5438,3823
ATAT1,False,14.9863,501,1753
ATE1,False,19.8982,725,2366
ATF1,False,16.3724,266,984
ATF2,False,32.2126,1266,3176
ATF3,False,21.289,343,800
ATF4,False,64.4036,1194,562
ATF5,False,182.276,298,40
ATF6,False,14.3045,405,2133
ATF6B,False,34.2264,472,649
ATF7,False,15.9259,560,1476
ATF7IP,False,42.869,2769,10372
ATF7IP2,False,82.4638,4797,7034
ATG10,False,20.1169,217,647
ATG101,False,22.718,491,900
ATG12,False,29.528,1396,1887
ATG13,False,26.8519,440,1350
ATG14,False,24.253,382,754
ATG16L1,False,12.6934,365,1515
