target,gene,dist,log2fc
B3GALT6,SDF4,8727,-0.5973021605165526
B3GALT6,UBE2J2,42240,-0.05415836526526916
B3GAT3,GANAB,24546,-0.07607165828254644
B3GAT3,MTA2,20253,0.2877147921544413
B3GAT3,UQCC3,48093,-0.02175028062546273
B3GAT3,EEF1G,48094,-0.04656498872457863
B3GNTL1,METRNL,27754,-0.09069962064674002
B4GALNT4,SIGIRR,48016,0.22547042683249613
B4GALT2,ATP6V0B,4456,0.06724433978695642
B4GALT2,DPH2,8968,0.29620187173665063
B4GALT3,UFC1,25876,-0.0593239399017421
B4GALT3,NDUFS2,18452,0.1579906129021433
B4GALT3,FCER1G,36523,0.08200622768162555
B4GALT7,TMED9,7907,-0.0809796192113367
B9D2,EXOSC5,33276,-0.20375436678223424
B9D2,TGFB1,10204,-0.2193696189108943
B9D2,BCKDHA,33627,-0.028410422789539227
BABAM1,OCEL1,41145,-0.21881519238908517
BABAM1,DDA1,42175,-0.1053641675270684
BABAM1,NR2F6,21390,-0.060059876942695635
BAD,PRDX5,26031,-0.05665352206835872
BAD,TRMT112,26140,0.1302617939319695
BAD,ESRRA,13134,-0.06849337141528895
BAD,PPP1R14B,44990,-0.06334444962993653
BAG1,CHMP5,703,-1.8757813820550977
BAG1,NFX1,25708,-0.021282747062995953
BAG2,PRIM2,49241,-0.13945384067922856
BAG4,STAR,25431,0.05375809068864442
BAG4,LSM1,197,-0.05054865655667661
BAG5,KLC1,14863,-0.01667899946388295
BAG5,COA8,14404,0.25797376770935004
BAG6,CSNK2B,12480,0.09478607118618995
BAG6,GPANK1,13536,-0.028097170847844334
BAG6,PRRC2A,32072,0.12640177050878149
BAG6,AIF1,37533,0.09981708779449318
BANF1,SF3B2,48897,-0.04901387858843927
BANF1,EIF1AD,640,-0.40719565284857523
BANF1,SART1,40151,-0.09287603621011563
BATF2,SNX15,30386,0.2600484191162132
BATF2,SAC3D1,43879,0.005260693635023876
BATF2,ARL2,16717,0.04652033401993955
BAX,FTL,10460,-0.2851899828141836
BAX,RUVBL2,38661,0.005216951666662817
BAZ1B,BCL7B,35724,0.020734661573368864
BAZ2A,ATP5F1B,9165,0.05335180874765455
BBIP1,PDCD4,47581,0.054884922549068904
BBS1,ZDHHC24,35638,-0.027389609406428636
BBS1,DPP3,30616,0.3464677764477741
BBS2,MT2A,25463,0.02600179937115912
BBS7,CCNA2,46566,-0.1927461876722645
BCAP29,COG5,15442,-0.1991872531417729
BCCIP,UROS,235,-0.9527592504632177
BCKDHA,EXOSC5,351,0.026865624918029286
BCKDHA,TGFB1,43831,-0.1314763616716648
BCKDHA,DMAC2,42925,-0.09782443338131122
BCKDK,KAT8,8382,-0.09963565349880937
BCKDK,VKORC1,10127,-0.30641456220185587
BCL10,C1orf52,16954,0.030073235954746955
BCL2L1,TPX2,15259,0.69425338274116
BCL2L12,IRF3,1242,0.10999254066822564
BCL2L12,PRMT1,11164,0.015434575982964093
