held_out,shape,arm,targets,pds_proxy,reach_proxy,prec_200,yield_200,mse_ratio,energy_kept,pds_minus_base,pds_minus_base_ci95,reach_minus_base,reach_minus_base_ci95
cd4_mix,t19,random_r10,292,0.5345054841594878,0.0018803908092394016,0.502859589041096,0.18941610476439183,1.0002424873403464,0.02726043574512005,-0.15162641811420233,"[-0.19467618744998352, -0.10891205338229074]",-0.005335555720483332,"[-0.008024891684998257, -0.0030833895459892926]"
cd4_mix,t19,stack_r20,292,0.5201242762321706,0.004250436775446035,0.5047945205479453,0.20533854708279128,1.043283625655396,0.3812215328216553,-0.16600762604151958,"[-0.19888934001788824, -0.13369845360824745]",-0.002965509754276699,"[-0.0056692803015412985, -0.0007429833150174808]"
cd4_mix,t19,half_stack_r20,292,0.6539212917196253,0.007180198743644918,0.5200856164383562,0.20962973885189712,1.0902654123969413,0.5991657376289368,-0.03221061055406487,"[-0.04064897848703102, -0.023688979899260942]",-3.574778607781607e-05,"[-0.0009010809464758437, 0.0007914485765999159]"
cd4_mix,t19,self_r20,292,0.5165466271242292,0.0033697968503056774,0.5044178082191781,0.2049252616074893,1.0983080241080427,0.5840663313865662,-0.169585275149461,"[-0.20273001694675893, -0.13504419102763263]",-0.0038461496794170574,"[-0.006475479032608072, -0.00171487422080888]"
cd4_mix,t19,random_r20,292,0.5317516358329802,0.0021358632668598285,0.4975684931506849,0.18650432076557694,1.0005289040834398,0.04057220742106438,-0.1543802664407099,"[-0.19921474132655462, -0.11188067834110063]",-0.005080083262862906,"[-0.007476805280437328, -0.002925661843055526]"
cd4_mix,t19,stack_r40,292,0.5366120604434402,0.003720806427749192,0.5087157534246576,0.20479485189783053,1.0678786842455137,0.4706588685512543,-0.14951984183024997,"[-0.177905957256508, -0.1210707644871252]",-0.0034951401019735423,"[-0.005831494972986378, -0.0014226322440842574]"
cd4_mix,t19,half_stack_r40,292,0.6545214894318129,0.0069504737074713736,0.5188698630136988,0.20902522483146233,1.1084374705594902,0.6450893878936768,-0.03161041284187733,"[-0.04060484630231135, -0.023077307819046277]",-0.0002654728222513613,"[-0.0011081136934231498, 0.00039758637903750815]"
cd4_mix,t19,self_r40,292,0.5532646048109966,0.0036732741390668126,0.5054280821917808,0.20467502056494674,1.133226673252419,0.6889914870262146,-0.13286729746269357,"[-0.16378512921903687, -0.10387451160382247]",-0.003542672390655922,"[-0.006082476041090351, -0.0014813376896736618]"
cd4_mix,t19,random_r40,292,0.5318693216588994,0.002268273648358769,0.5006506849315069,0.18744704173044072,1.000928261145115,0.05603683367371559,-0.15426258061479073,"[-0.19993291907922608, -0.10888822200254204]",-0.0049476728813639655,"[-0.007517274469011636, -0.0029456316958426194]"
cd4_mix,t19,stack_r80,292,0.5815680459445464,0.004409710311593041,0.5168150684931506,0.20730981405027596,1.104669839601497,0.5888336896896362,-0.10456385632914372,"[-0.12989396507084688, -0.0793290731064351]",-0.0028062362181296937,"[-0.005332545853403867, -0.0006972706396900305]"
cd4_mix,t19,half_stack_r80,292,0.6616179447347362,0.007461591606396997,0.5198116438356165,0.20937550478772393,1.1365358853227947,0.7141713500022888,-0.024513957538954002,"[-0.03297733370992797, -0.016510732947323824]",0.0002456450766742631,"[-0.0007206862669848107, 0.001133410552180422]"
cd4_mix,t19,self_r80,292,0.5897236736807419,0.0049502050431302555,0.5140239726027398,0.20749376948758444,1.1719558820244724,0.7985168695449829,-0.09640822859294827,"[-0.12001953584710259, -0.07423504213152568]",-0.002265741486592479,"[-0.004041688744662342, -0.000887943005161349]"
cd4_mix,t19,random_r80,292,0.5678105728946005,0.0017125987104918553,0.500804794520548,0.18754129112928308,1.0018300499923076,0.07927176356315613,-0.11832132937908958,"[-0.1561673257072918, -0.08216294779456765]",-0.005503347819230879,"[-0.008185669567267984, -0.0032615718645393832]"
cd4_mix,t19,stack_r160,292,0.6156380925481335,0.005999998450961178,0.5168150684931506,0.20695540169404322,1.1444404322128154,0.7009798288345337,-0.07049380972555665,"[-0.09076225109447816, -0.0520494986583816]",-0.0012159480787615558,"[-0.0032188807678548044, 0.00039274588202789165]"
cd4_mix,t19,half_stack_r160,292,0.6677140705173469,0.007869560846859186,0.5208904109589042,0.20927908083099084,1.1669602804129378,0.7864692807197571,-0.01841783175634327,"[-0.02578525867344537, -0.011509379560325758]",0.0006536143171364536,"[-0.0001056409191453894, 0.0014662888832616858]"
cd4_mix,t19,self_r160,292,0.6420350233017935,0.006551717340886074,0.5204623287671233,0.21001192088924872,1.2186804731063012,0.9098819494247437,-0.044096878971896625,"[-0.05952784446641246, -0.029597102574965877]",-0.0006642291888366612,"[-0.0015480890829925708, 0.0001945960758799201]"
cd4_mix,t19,random_r160,292,0.5772372075507226,0.0024337037365605814,0.5024143835616438,0.1885564850644199,1.0035947008607315,0.11195196211338043,-0.10889469472296757,"[-0.15005737184013554, -0.06786941580756015]",-0.004782242793162153,"[-0.007327006943368363, -0.0026540476382797213]"
orion_hct116,t16,base,265,0.6948542024013722,0.036792859802304526,0.5058679245283019,0.4958904731948886,1.2153753503963785,1.0,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]"
orion_hct116,t16,stack_r10,265,0.5291881074899942,0.028080546106493274,0.4988301886792453,0.48987887500102595,1.048652040935294,0.45241671800613403,-0.16566609491137796,"[-0.20094839908519155, -0.12995354488279018]",-0.008712313695811252,"[-0.019421408638893106, 0.0017880853727885305]"
orion_hct116,t16,half_stack_r10,265,0.6533018867924528,0.03621259316305347,0.5040377358490566,0.49440786201344183,1.086362655081112,0.6352260708808899,-0.041552315608919387,"[-0.05399335334476844, -0.029430388793596343]",-0.0005802666392510608,"[-0.005391412168850452, 0.004237455546662147]"
orion_hct116,t16,self_r10,265,0.5265580331618067,0.02334906458088605,0.4941132075471698,0.48505813406147014,1.0622061539278427,0.5312073230743408,-0.16829616923956547,"[-0.2031357204116638, -0.1340047884505432]",-0.013443795221418477,"[-0.02382899794921579, -0.0038056770221290386]"
orion_hct116,t16,random_r10,265,0.5400514579759863,0.018491272514467697,0.4990188679245283,0.4884483216528664,1.0002188013048512,0.029427044093608856,-0.15480274442538594,"[-0.2001429388221841, -0.10884791309319618]",-0.018301587287836825,"[-0.028009129611106916, -0.008066246857436383]"
orion_hct116,t16,stack_r20,265,0.5445111492281304,0.0252962482002747,0.49713207547169813,0.4879943026090777,1.0623909423716533,0.5205485820770264,-0.15034305317324187,"[-0.18396583762149799, -0.11800921955403085]",-0.011496611602029829,"[-0.0218883149809317, -0.0012850080582468848]"
orion_hct116,t16,half_stack_r20,265,0.6540022870211549,0.032977486766869755,0.5035283018867924,0.49399292075663354,1.096771502735098,0.6732226610183716,-0.04085191538021726,"[-0.052891295025728986, -0.029087692967409953]",-0.0038153730354347722,"[-0.009190943030359625, 0.0016930172549377014]"
orion_hct116,t16,self_r20,265,0.5443682104059462,0.0252366862281224,0.49845283018867914,0.489275368455786,1.0822012776369794,0.6135498881340027,-0.15048599199542595,"[-0.18137900228702114, -0.11897084048027451]",-0.011556173574182128,"[-0.021985732422848354, -0.0016641987258277783]"
orion_hct116,t16,random_r20,265,0.5192824471126358,0.018169362495638334,0.5041320754716981,0.49330487372983617,1.0003925632723258,0.0388333685696125,-0.17557175528873642,"[-0.22073148942252718, -0.12722555746140657]",-0.01862349730666619,"[-0.028430393839423834, -0.009497894525153363]"
orion_hct116,t16,stack_r40,265,0.5523870783304745,0.024823745841248062,0.4955283018867924,0.4862251485210496,1.0793962528245034,0.5866206288337708,-0.14246712407089768,"[-0.171636649514008, -0.1128051743853631]",-0.011969113961056467,"[-0.02232197211484048, -0.0020045941431372613]"
orion_hct116,t16,half_stack_r40,265,0.6520583190394512,0.03100986718604017,0.5030000000000001,0.4934118598115153,1.1095356441667932,0.7128093838691711,-0.042795883361921104,"[-0.05333333333333334, -0.03274585477415666]",-0.005782992616264355,"[-0.011438034951001035, -6.878626002903569e-05]"
orion_hct116,t16,self_r40,265,0.5765580331618066,0.02685265869466017,0.49739622641509434,0.4880651459107911,1.1066647488074222,0.7068377733230591,-0.11829616923956546,"[-0.14570004288164665, -0.09109383933676386]",-0.009940201107644354,"[-0.01898892768329237, -0.001137055765296688]"
orion_hct116,t16,random_r40,265,0.5406518010291596,0.019952138319559984,0.5003396226415094,0.48976027344126405,1.0007707121064353,0.05556672438979149,-0.15420240137221267,"[-0.2008722841623785, -0.10825328759291027]",-0.01684072148274454,"[-0.026695166944236227, -0.0075212376463274794]"
orion_hct116,t16,stack_r80,265,0.5857061177815894,0.026201967124613316,0.500867924528302,0.49140182703339425,1.1029057129089799,0.6736979484558105,-0.10914808461978273,"[-0.13532089765580332, -0.0840755431675243]",-0.010590892677691213,"[-0.019898429729831427, -0.0017114157140497436]"
orion_hct116,t16,half_stack_r80,265,0.6616066323613493,0.03299065484191151,0.5028490566037735,0.4930745823421857,1.1274541318074858,0.7683748602867126,-0.03324757004002287,"[-0.042454616923956544, -0.024312464265294462]",-0.003802204960393017,"[-0.008156249833115806, 0.0006174594401692479]"
orion_hct116,t16,self_r80,265,0.6134076615208691,0.031153305162719913,0.4998301886792452,0.49041900909084446,1.1407114469148145,0.8110933899879456,-0.08144654088050314,"[-0.10274478273299027, -0.061362206975414516]",-0.005639554639584617,"[-0.013939003732569065, 0.0025388895417253355]"
orion_hct116,t16,random_r80,265,0.5578044596912521,0.019734715919831107,0.4990943396226415,0.48829380526479427,1.0015395779554326,0.0814233124256134,-0.13704974271012008,"[-0.17838157518582046, -0.0920218696397942]",-0.017058143882473422,"[-0.02642353287349267, -0.008760498831073443]"
orion_hct116,t16,stack_r160,265,0.6223270440251572,0.02919439207006557,0.5021698113207548,0.49287294854011754,1.1334318623694284,0.771495521068573,-0.07252715837621497,"[-0.09161520869068039, -0.054516152086906806]",-0.007598467732238954,"[-0.01465455022028371, -0.0004758854733611365]"
orion_hct116,t16,half_stack_r160,265,0.6700400228702116,0.034575747712130914,0.5054528301886794,0.4956266797818772,1.1507999428120357,0.8345065712928772,-0.024814179531160663,"[-0.03299063750714694, -0.017066538021726693]",-0.0022171120901736175,"[-0.006502400677156828, 0.0019115375415012545]"
orion_hct116,t16,self_r160,265,0.6615065751858205,0.03259754870349328,0.5040943396226415,0.49427429088753233,1.1833293499564788,0.9241522550582886,-0.03334762721555175,"[-0.045240851915380215, -0.020881932532875937]",-0.004195311098811247,"[-0.008912239760088843, 0.0005723172204928318]"
orion_hct116,t16,random_r160,265,0.5712121212121212,0.020824053163947785,0.5029433962264152,0.4919250736238865,1.002954724355607,0.11260028183460236,-0.123642081189251,"[-0.16603237564322473, -0.07961263579188112]",-0.015968806638356738,"[-0.02580143045385476, -0.006174298436148557]"
orion_hct116,t19,base,265,0.7058747855917668,0.04756018786849057,0.5154528301886793,0.5047348281521941,1.2584694400889163,1.0,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]"
orion_hct116,t19,stack_r10,265,0.5350771869639793,0.026977089903927734,0.5026792452830189,0.49274692542977616,1.0841609240111818,0.5448955297470093,-0.17079759862778732,"[-0.20666166380789022, -0.13600378787878792]",-0.02058309796456284,"[-0.03217587972315814, -0.00941179091512347]"
orion_hct116,t19,half_stack_r10,265,0.6652944539736992,0.044817250237964554,0.5131320754716981,0.5024279778486442,1.1232234499966682,0.6875215172767639,-0.04058033161806747,"[-0.05360384505431676, -0.027856275014293896]",-0.0027429376305260146,"[-0.0082839365054774, 0.0030110890257683117]"
orion_hct116,t19,self_r10,265,0.5307318467695825,0.026973640122218267,0.5008490566037737,0.49116770749181854,1.08852336929541,0.5666347742080688,-0.1751429388221841,"[-0.21046419382504286, -0.13917417095483137]",-0.0205865477462723,"[-0.03243862202575145, -0.009500014287385478]"
orion_hct116,t19,random_r10,265,0.5081046312178387,0.016251463823669005,0.5000188679245283,0.4894975674399882,1.000303512318804,0.028632698580622673,-0.19777015437392795,"[-0.24171026300743284, -0.15349306746712413]",-0.031308724044821566,"[-0.042223025714241, -0.021142512658895263]"
orion_hct116,t19,stack_r20,265,0.5457833047455689,0.030373757788690652,0.5030754716981132,0.4933122886478282,1.099063680918763,0.5931646227836609,-0.16009148084619784,"[-0.19396941109205262, -0.12616709548313326]",-0.017186430079799912,"[-0.028174966738857866, -0.005769672014187557]"
orion_hct116,t19,half_stack_r20,265,0.6636649514008005,0.04447116810833083,0.513754716981132,0.5030826946211147,1.1342876699588815,0.7168556451797485,-0.042209834190966265,"[-0.05473163236134934, -0.030434891366495208]",-0.0030890197601597387,"[-0.008636747108172435, 0.0023626774035890685]"
