held_out,predictors,variant,context_weights,targets,pds_proxy,prec_50,prec_200,prec_800,yield_50,yield_200,yield_800,up_50,up_200,up_800,n_conf
orion_hct116,k562+cd4_mix,consensus2,C,265,0.6770869068038878,0.507245283018868,0.505811320754717,0.5090330188679246,0.41162040399794003,0.49641017870586474,0.5090330188679246,0.3903396226415094,0.43162264150943397,0.4689433962264151,73.55471698113207
orion_hct116,k562+cd4_mix,shuffled_base,A,265,0.5040451686678101,0.49041509433962277,0.49232075471698117,0.49641509433962266,0.40605938776867306,0.48436716929682727,0.49641509433962266,0.37335849056603776,0.41613207547169806,0.46059433962264157,70.73584905660377
orion_hct116,k562+cd4_mix,shuffled_base,B,265,0.508876500857633,0.4892075471698113,0.49616981132075477,0.49883962264150944,0.4021760903811304,0.48789721834784944,0.49883962264150944,0.3885283018867925,0.4302830188679245,0.4664198113207547,71.36981132075472
orion_hct116,k562+cd4_mix,shuffled_base,C,265,0.5033304745568896,0.49049056603773594,0.49471698113207546,0.4979198113207547,0.39998586021988436,0.4858829972275486,0.4979198113207547,0.3816603773584906,0.4265849056603773,0.463377358490566,73.54716981132076
orion_hek293t,k562+cd4_mix,base_g1,A,278,0.6653507518894631,0.5252517985611511,0.518273381294964,0.5138444244604317,0.382788762183838,0.492713127676883,0.5125405323273969,0.38798561151079136,0.42473021582733816,0.46491456834532385,107.5
orion_hek293t,k562+cd4_mix,base_g1,B,278,0.6511830246993741,0.525251798561151,0.5179856115107914,0.5134397482014388,0.3847343816909196,0.4923976935173512,0.5122202684269136,0.3970503597122302,0.4347841726618705,0.4701708633093524,106.49280575539568
orion_hek293t,k562+cd4_mix,base_g1,C,278,0.6564163831389762,0.5192805755395684,0.5156474820143885,0.5129586330935253,0.3781969013309805,0.48963764374062957,0.5117028147416106,0.39215827338129494,0.43170863309352514,0.4675224820143885,107.00719424460432
orion_hek293t,k562+cd4_mix,g0,A,278,0.6670519180323612,0.5261870503597124,0.521726618705036,0.5168794964028777,0.3832248374244636,0.4960806628295622,0.5155815418224862,0.4100000000000001,0.4468345323741007,0.442306654676259,107.5
orion_hek293t,k562+cd4_mix,g0,B,278,0.651858296756097,0.5257553956834533,0.5200539568345325,0.5166501798561152,0.3866509567873736,0.49443332342923074,0.5154328836029306,0.39999999999999997,0.4307913669064748,0.4307823741007194,106.49280575539568
orion_hek293t,k562+cd4_mix,g0,C,278,0.6532348128717244,0.5238848920863309,0.5176798561151079,0.5154496402877697,0.3823239181940779,0.49200628403343055,0.5141889399738175,0.4174100719424461,0.44300359712230214,0.438376798561151,107.00719424460432
orion_hek293t,k562+cd4_mix,g05,A,278,0.6675324000727216,0.5262589928057554,0.5198021582733813,0.5151528776978417,0.38331136264987664,0.49412379436804155,0.5138596751263654,0.39920863309352517,0.4340647482014389,0.45302158273381293,107.5
orion_hek293t,k562+cd4_mix,g05,B,278,0.6531439108640885,0.5257553956834533,0.5197482014388489,0.5147931654676259,0.38586928228863393,0.4942118923270261,0.5135743925195209,0.394748201438849,0.4304676258992805,0.4499190647482014,106.49280575539568
