held_out,target,pds_proxy_A
orion_hct116,ASCC2,0.46212121212121215
orion_hct116,BCKDK,0.9583333333333334
orion_hct116,BCL6,0.5416666666666667
orion_hct116,BCL7C,0.696969696969697
orion_hct116,BRPF1,0.9962121212121212
orion_hct116,CAND1,0.9166666666666666
orion_hct116,CAPRIN2,0.9507575757575758
orion_hct116,CARM1,1.0
orion_hct116,CAT,0.9507575757575758
orion_hct116,CCDC112,0.696969696969697
orion_hct116,CHD3,0.7159090909090908
orion_hct116,CHD6,0.678030303030303
orion_hct116,CHKB,0.8863636363636364
orion_hct116,CLCN6,0.7840909090909091
orion_hct116,COIL,0.8257575757575757
orion_hct116,COMMD8,0.31439393939393945
orion_hct116,COQ10B,0.9583333333333334
orion_hct116,CSNK2A1,1.0
orion_hct116,CYTH2,0.803030303030303
orion_hct116,DBF4B,0.7045454545454546
orion_hct116,DBN1,1.0
orion_hct116,DCAF16,0.7386363636363636
orion_hct116,DDHD1,0.8674242424242424
orion_hct116,DEAF1,0.3295454545454546
orion_hct116,DEK,0.7159090909090908
orion_hct116,DHRS1,0.9886363636363636
orion_hct116,DHX35,0.39015151515151514
orion_hct116,DLAT,0.6022727272727273
orion_hct116,DMTF1,0.9962121212121212
orion_hct116,DNTTIP1,1.0
orion_hct116,DRG2,0.5681818181818181
orion_hct116,DTNBP1,0.125
orion_hct116,DVL3,0.41287878787878785
orion_hct116,E2F1,0.9393939393939394
orion_hct116,E2F4,0.9166666666666666
orion_hct116,EAPP,0.0492424242424242
orion_hct116,EEF1A2,0.9090909090909091
orion_hct116,EPC2,0.9545454545454546
orion_hct116,EPM2AIP1,0.9810606060606061
orion_hct116,EZH2,0.9393939393939394
orion_hct116,FAM120A,0.875
orion_hct116,FCGRT,0.7575757575757576
orion_hct116,FHL3,0.4696969696969697
orion_hct116,FOXN2,1.0
orion_hct116,FOXO4,0.9545454545454546
orion_hct116,FUBP3,0.7651515151515151
orion_hct116,FXYD5,0.7575757575757576
orion_hct116,FZD2,0.26136363636363635
orion_hct116,GIGYF2,0.9583333333333334
orion_hct116,GLI3,1.0
orion_hct116,GMEB2,0.9166666666666666
orion_hct116,GPATCH8,1.0
orion_hct116,GRAMD1A,0.21969696969696972
orion_hct116,GTF2IRD1,0.6590909090909092
orion_hct116,HDAC1,0.8068181818181819
orion_hct116,HDAC8,0.6893939393939394
orion_hct116,HEATR6,0.7575757575757576
orion_hct116,HMGN3,0.5
orion_hct116,HMGXB3,1.0
orion_hct116,HOMEZ,0.6439393939393939
orion_hct116,HSBP1,0.36742424242424243
orion_hct116,HSP90AB1,0.7575757575757576
orion_hct116,IFI27L2,0.5795454545454546
orion_hct116,IFNAR2,0.2992424242424242
orion_hct116,IFNGR2,0.8106060606060606
orion_hct116,IREB2,0.4204545454545454
orion_hct116,KDM5A,1.0
orion_hct116,KHDRBS1,0.9204545454545454
orion_hct116,KHSRP,1.0
orion_hct116,KIF21B,0.4772727272727273
orion_hct116,KIF2A,0.13636363636363635
orion_hct116,LDLR,0.8977272727272727
orion_hct116,LENG1,0.375
orion_hct116,LMAN1,0.8484848484848485
orion_hct116,LMBRD2,0.6401515151515151
orion_hct116,LPCAT3,0.5757575757575757
orion_hct116,MAP2K2,0.07196969696969702
orion_hct116,MAPK7,0.49242424242424243
orion_hct116,MARCKSL1,0.5795454545454546
orion_hct116,MBD4,0.5113636363636364
orion_hct116,MED13,0.2689393939393939
orion_hct116,MED15,0.9962121212121212
orion_hct116,MED25,0.9924242424242424
orion_hct116,MLKL,0.6401515151515151
orion_hct116,MLLT10,0.7007575757575757
orion_hct116,MSANTD4,0.48863636363636365
orion_hct116,MSI2,0.9090909090909091
orion_hct116,MTA1,1.0
orion_hct116,MTF1,1.0
orion_hct116,MTHFSD,0.7765151515151515
orion_hct116,MTM1,0.8901515151515151
orion_hct116,MYD88,0.7121212121212122
orion_hct116,MYPOP,0.678030303030303
orion_hct116,MYRF,0.9734848484848485
orion_hct116,NABP2,1.0
orion_hct116,NAIF1,0.9772727272727273
orion_hct116,NCLN,0.8560606060606061
orion_hct116,NFE2L1,0.946969696969697
orion_hct116,NGLY1,0.946969696969697
orion_hct116,NIPAL3,0.38257575757575757
orion_hct116,NT5DC1,0.6590909090909092
orion_hct116,NUP37,0.7689393939393939
orion_hct116,PAN2,0.9507575757575758
orion_hct116,PAPOLA,1.0
orion_hct116,PARP3,0.9924242424242424
orion_hct116,PATL1,0.6022727272727273
orion_hct116,PBLD,1.0
orion_hct116,PCGF1,0.12121212121212122
orion_hct116,PCGF6,0.9810606060606061
orion_hct116,PDCD4,0.09090909090909094
orion_hct116,PDE6D,0.6363636363636364
orion_hct116,PDK1,0.6893939393939394
orion_hct116,PDK3,0.12878787878787878
orion_hct116,PHF19,0.5
orion_hct116,PHF23,0.9810606060606061
orion_hct116,PHF8,0.9924242424242424
orion_hct116,PI4KB,0.9356060606060606
orion_hct116,PIM2,0.8409090909090909
orion_hct116,PIN1,0.8598484848484849
orion_hct116,PINK1,0.5416666666666667
orion_hct116,PLAGL2,0.2992424242424242
orion_hct116,PLCG1,0.8333333333333334
orion_hct116,PNP,0.7272727272727273
orion_hct116,POLD4,0.40909090909090906
