target,class,cosine,energy_k562,energy_cd4_mix,cells_k562,cells_cd4_mix
SLC25A26,other,-0.00910988,171.35,19.19,75,1591
SLC25A28,other,-0.0030824,343.946,48.9936,50,904
SLC25A29,other,-0.00828336,42.3093,21.1891,302,3244
SLC25A3,other,0.00209632,77.6546,28.8081,174,1949
SLC25A32,other,0.0187886,63.6098,48.5695,212,867
SLC25A33,other,-0.0120553,57.329,16.7783,222,4980
SLC25A36,other,0.00520447,194.065,27.0886,73,639
SLC25A37,other,-0.0259866,180.827,37.6968,76,2313
SLC25A38,other,-0.010418,66.4495,29.3276,194,1084
SLC25A39,other,-0.0135607,56.4188,22.6519,222,1331
SLC25A4,other,-0.00907791,91.4639,28.9533,151,2420
SLC25A42,other,-0.00770168,337.835,27.7456,80,1878
SLC25A44,other,-0.0111001,114.11,15.1757,125,2482
SLC25A46,other,0.0165587,75.256,16.8653,182,1503
SLC25A5,other,-0.0303079,71.7369,18.5888,170,1889
SLC25A51,other,0.0240422,154.241,25.4054,95,1983
SLC25A53,other,-0.00104852,36.1904,25.1317,365,2827
SLC25A6,other,0.0443865,27.0802,18.7247,466,1416
SLC26A6,other,-0.00842297,54.8694,14.1046,224,2977
SLC27A2,other,-0.00705877,49.542,26.3663,271,1708
SLC27A4,other,-0.0306762,89.4565,23.6554,180,1605
SLC27A5,other,-0.00182075,66.2328,16.2306,198,2461
SLC29A1,other,0.0245698,26.242,21.8319,514,2198
SLC29A2,other,-0.0215828,42.9712,16.7288,274,1738
SLC2A1,other,0.0258388,120.673,24.2605,120,2729
SLC2A11,other,-0.0172361,82.9218,36.2217,161,1158
SLC2A13,other,-0.012523,80.2151,18.9424,169,1219
SLC2A3,other,0.0277378,76.4196,28.0105,160,7775
SLC2A4RG,other,0.00582572,53.5904,14.3774,259,2560
SLC2A8,other,-0.0395441,413.118,29.3307,53,923
SLC30A1,other,0.360351,63.7312,29.2634,323,2430
SLC30A5,other,0.038983,40.3685,15.137,316,2421
SLC30A6,other,-0.00414357,112.979,19.8135,111,2071
SLC30A7,other,0.00297266,76.7741,16.847,166,1995
SLC30A9,other,0.00251502,109.138,21.0814,116,2269
SLC31A1,other,0.0518913,98.1926,60.3167,138,772
SLC33A1,other,0.00351873,49.8989,33.5752,253,671
SLC35A1,other,0.028599,171.233,28.8084,78,896
SLC35A2,other,-0.011345,70.6883,27.9961,195,943
SLC35A3,other,0.00680245,69.5944,22.1623,233,1433
SLC35A4,other,-0.0286499,577.952,14.25,52,4918
SLC35B1,other,0.0241732,122.813,130.055,112,374
SLC35B2,other,-0.0226495,100.01,17.4958,162,1850
SLC35B3,other,0.0262239,120.749,20.7783,114,1735
SLC35B4,other,0.00243258,92.352,37.0734,128,1238
SLC35C2,other,0.0370865,97.1499,31.5744,144,1135
SLC35D1,other,0.00271336,39.8844,19.2033,334,1728
SLC35D2,other,0.0247617,47.6903,21.6199,252,1238
