held_out,arm,target,pds
k562,cis,NIPAL3,0.5
k562,cis,NIPSNAP3A,0.5
k562,cis,NT5DC1,0.5
k562,cis,NUP37,1.0
k562,cis,PAN2,0.5
k562,cis,PAPOLA,0.5
k562,cis,PATL1,0.5
k562,cis,PCGF1,0.5
k562,cis,PCGF6,0.5
k562,cis,PDCD4,0.5
k562,cis,PDE6D,0.988929889298893
k562,cis,PDK1,0.5
k562,cis,PGLS,0.5
k562,cis,PHF19,0.5
k562,cis,PHF23,1.0
k562,cis,PHF8,0.5
k562,cis,PI4KB,0.5
k562,cis,PIM2,0.5
k562,cis,PIN1,0.5
k562,cis,PINK1,0.5
k562,cis,PKN3,0.5
k562,cis,PLAGL2,0.36900369003690037
k562,cis,PLCG1,0.5
k562,cis,PNP,0.34317343173431736
k562,cis,POLD4,0.5
k562,cis,POR,0.5
k562,cis,PPIF,0.5
k562,cis,PPIP5K2,0.5
k562,cis,PQBP1,0.5
k562,cis,PRDX3,0.5
k562,cis,PRKAB2,0.5
k562,cis,PRKACA,0.5
k562,cis,PRMT2,0.5
k562,cis,PRMT6,0.5
k562,cis,PRMT7,0.8154981549815499
k562,cis,PRNP,0.5
k562,cis,PSKH1,0.5
k562,cis,PTMS,0.8265682656826568
k562,cis,PTOV1,0.5
k562,cis,PYCR1,0.5
k562,cis,R3HCC1L,0.5
k562,cis,RAB5A,0.5
k562,cis,RABEP2,0.5
k562,cis,RBM18,1.0
k562,cis,RBM26,0.5
k562,cis,RBM4B,0.5
k562,cis,RBM5,0.5
k562,cis,RC3H2,0.5
k562,cis,REV1,0.5
k562,cis,RFK,0.5
k562,cis,RNF10,0.5830258302583026
k562,cis,RNF141,0.5
k562,cis,RNF2,0.5
k562,cis,RSRC1,1.0
k562,cis,S100A11,0.5
k562,cis,SAP30L,0.5
k562,cis,SCAF8,0.5
k562,cis,SFXN4,0.5
k562,cis,SH2D3A,0.5
k562,cis,SHPRH,0.5
k562,cis,SIN3B,0.5
k562,cis,SLC25A13,0.5
k562,cis,SLC39A1,0.5
k562,cis,SLIRP,0.5
k562,cis,SMARCA5,0.5
k562,cis,SMARCC2,0.5
k562,cis,SMYD2,0.5
k562,cis,SND1,0.5
k562,cis,SNRK,0.5
k562,cis,SNX4,0.5
k562,cis,SRSF5,0.5
k562,cis,SSR4,1.0
k562,cis,STAT6,0.5
k562,cis,STK3,0.5
k562,cis,STT3A,0.996309963099631
k562,cis,SUPT7L,1.0
k562,cis,SYVN1,0.5
k562,cis,TAF15,0.5
