held_out,shape,arm,targets,pds_proxy,reach_proxy,prec_200,yield_200,mse_ratio,pds_minus_base,pds_minus_base_ci95,pds_minus_base_nb_targets,reach_minus_base,reach_minus_base_ci95,reach_minus_base_nb_targets,pairs,pairs_measured,targets_with_pair
orion_hct116,t16,cis_med_add1_5kb,265,0.6965408805031446,0.037015276762809114,0.5058867924528302,0.4959093411194169,1.2154685700339578,0.0016866781017724436,"[0.0007432818753573489, 0.0027730131503716413]",0.006671189507010411,0.00022241696050458434,"[0.0, 0.000513444555657539]",0.0008797088736375349,68.0,57.0,67.0
orion_hct116,t16,cis_med_add2_5kb,265,0.6984419668381932,0.037015276762809114,0.5059056603773585,0.4959282090439452,1.2156494843572068,0.0035877644368210422,"[0.0016434391080617512, 0.005874785591766723]",0.014190411578471286,0.00022241696050458434,"[0.0, 0.0005087929872068021]",0.0008797088736375349,68.0,57.0,67.0
orion_hct116,t16,cis_med_add4_5kb,265,0.7015437392795884,0.037015276762809114,0.5059245283018867,0.49594707696847345,1.2162743970964323,0.006689536878216124,"[0.0031446540880503146, 0.011049528301886793]",0.026458616010854825,0.00022241696050458434,"[0.0, 0.000513444555657539]",0.0008797088736375349,68.0,57.0,67.0
orion_hct116,t16,cis_mean_add1_5kb,265,0.6979845626072041,0.037015276762809114,0.5058867924528302,0.4959093411194169,1.2155978981991442,0.003130360205831907,"[0.0015294453973699286, 0.005145797598627791]",0.012381275440976947,0.00022241696050458434,"[0.0, 0.0005132015942697102]",0.0008797088736375349,68.0,57.0,67.0
orion_hct116,t16,cis_mean_add2_5kb,265,0.7007289879931389,0.037015276762809114,0.5059245283018867,0.49594707696847345,1.2160858822133338,0.005874785591766725,"[0.0029731275014293897, 0.00966266437964551]",0.02323609226594302,0.00022241696050458434,"[0.0, 0.0005041414187560651]",0.0008797088736375349,68.0,57.0,67.0
orion_hct116,t16,cis_meas_5kb,265,0.6961406518010292,0.036856818868502166,0.5058867924528302,0.4959093411194169,1.2154820745206294,0.001286449399656949,"[0.00047169811320754885, 0.0023013150371640973]",0.005088195386702858,6.395906619763352e-05,"[0.0, 0.00019187719859290055]",0.00025297242600556537,68.0,57.0,67.0
orion_hct116,t16,cis_shuffled_5kb,265,0.694811320754717,0.036792859802304526,0.5059056603773585,0.4959282090439452,1.2155756010184904,-4.288164665523026e-05,"[-0.000529230989136649, 0.0004859919954259589]",-0.00016960651289008987,0.0,"[0.0, 0.0]",0.0,68.0,57.0,67.0
orion_hct116,t19,base,265,0.7058747855917668,0.04756018786849057,0.5154528301886793,0.5047348281521941,1.2584694400889163,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,,,
orion_hct116,t19,cis_med_add1_2kb,265,0.7072755860491708,0.04756018786849057,0.5154528301886793,0.5047348281521941,1.2587023482288489,0.001400800457404231,"[0.0006575185820468834, 0.0023877930245854743]",0.005540479421076436,0.0,"[0.0, 0.0]",0.0,53.0,46.0,53.0
orion_hct116,t19,cis_med_add2_2kb,265,0.7083762149799887,0.04762879850313895,0.5154716981132075,0.5047536960767223,1.259020263714812,0.002501429388221841,"[0.0011578044596912529, 0.00414522584333905]",0.009893713251922207,6.86106346483705e-05,"[0.0, 0.0002058319039451115]",0.00027137042062415194,53.0,46.0,53.0
