held_out,shape,arm,targets,pds_proxy,reach_proxy,prec_200,yield_200,mse_ratio,pds_minus_base,pds_minus_base_ci95,pds_minus_base_nb_targets,reach_minus_base,reach_minus_base_ci95,reach_minus_base_nb_targets
cd4_mix,t16,cis_shuffled_10kb,292,0.6718213058419243,0.004713977085080513,0.5160102739726028,0.21273792658609858,1.4275784895961527,-4.7074330367649595e-05,"[-0.00029421456479781355, 0.00017652873887869034]",-0.00018327605956471575,1.914760175457171e-06,"[-1.2742911755336092e-06, 7.655717289671927e-06]",7.454799616446586e-06
cd4_mix,t19,base,292,0.6861319022736901,0.0072159465297227336,0.5223972602739726,0.21712020724354797,1.2617633493862148,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0
cd4_mix,t19,cis_replace_2kb,292,0.684672598032293,0.007276584275236705,0.522568493150685,0.21721108566689562,1.2620975209295118,-0.001459304241397166,"[-0.005095796262298168, 0.0013654497952266613]",-0.005681557846506299,6.063774551397032e-05,"[-2.165442242009005e-05, 0.0001617397873688788]",0.00023608295586772447
cd4_mix,t19,cis_min_2kb,292,0.6881207927317234,0.007322539713495128,0.522568493150685,0.21721108566689562,1.2617319813136232,0.0019888904580332347,"[0.0006237348773713698, 0.0035894176905333533]",0.0077434135166093935,0.0001065931837723936,"[3.6066117019938305e-05, 0.00020352341615502]",0.0004150027954871857
cd4_mix,t19,cis_fill_2kb,292,0.6862260509344256,0.0072159465297227336,0.5224143835616439,0.217123052828687,1.2617651886393786,9.414866073530109e-05,"[0.0, 0.00028244598220590324]",0.0003665521191294389,0.0,"[0.0, 0.0]",0.0
cd4_mix,t19,cis_add_2kb,292,0.6911453184578449,0.007335998783942718,0.522568493150685,0.21721108566689562,1.2617456486903527,0.0050134161841547805,"[0.0027067739961399045, 0.007496587111048346]",0.019518900343642613,0.0001200522542199843,"[4.727474716482942e-05, 0.0002157280758685924]",0.00046740344309647224
cd4_mix,t19,cis_shuffled_2kb,292,0.6858847620392601,0.0072298115399828415,0.5224657534246575,0.21716436236759482,1.2619902948845234,-0.00024714023443016514,"[-0.000506049051452242, -4.678011580285417e-05]",-0.0009621993127147762,1.3865010260107593e-05,"[0.0, 4.159503078032278e-05]",5.398110661268556e-05
cd4_mix,t19,cis_replace_5kb,292,0.6844372263804548,0.0072606619774680334,0.5225171232876712,0.21719641089260616,1.2621375644504007,-0.0016946758932354189,"[-0.0052134820882172965, 0.0014239984936214288]",-0.006597938144329897,4.471544774529965e-05,"[-4.64121799085719e-05, 0.00015167297011096657]",0.00017409214322169995
cd4_mix,t19,cis_min_5kb,292,0.6881207927317234,0.007322539713495128,0.5225342465753424,0.21719924587400868,1.2617368063968208,0.0019888904580332343,"[0.0005884291295956315, 0.0036835663512686523]",0.007743413516609392,0.0001065931837723936,"[3.41073894961265e-05, 0.00020529411679190052]",0.0004150027954871857
cd4_mix,t19,cis_fill_5kb,292,0.6862260509344256,0.0072159465297227336,0.5224143835616439,0.217123052828687,1.2617651886393786,9.414866073530109e-05,"[0.0, 0.00028244598220590324]",0.0003665521191294389,0.0,"[0.0, 0.0]",0.0
