held_out,shape,arm,target,pds,reach,has_neighbour_5kb
orion_hct116,t16,base,GRAMD1A,0.20454545454545459,0.0,False
orion_hct116,t16,base,GTF2IRD1,0.7348484848484849,0.0,False
orion_hct116,t16,base,HDAC1,0.7727272727272727,0.0,False
orion_hct116,t16,base,HDAC8,0.8106060606060606,0.075,False
orion_hct116,t16,base,HEATR6,0.8560606060606061,0.10909090909090909,False
orion_hct116,t16,base,HMGN3,0.5757575757575757,0.018867924528301886,False
orion_hct116,t16,base,HMGXB3,1.0,0.1724137931034483,True
orion_hct116,t16,base,HOMEZ,0.8787878787878788,0.017857142857142856,True
orion_hct116,t16,base,HSBP1,0.2954545454545454,0.047619047619047616,False
orion_hct116,t16,base,HSP90AB1,0.8598484848484849,0.02,False
orion_hct116,t16,base,IFI27L2,0.6856060606060606,0.029411764705882353,False
orion_hct116,t16,base,IFNAR2,0.43181818181818177,0.0,False
orion_hct116,t16,base,IFNGR2,0.7007575757575757,0.01507537688442211,False
orion_hct116,t16,base,IREB2,0.5833333333333333,0.012987012987012988,False
orion_hct116,t16,base,KDM5A,1.0,0.03076923076923077,True
orion_hct116,t16,base,KHDRBS1,0.9393939393939394,0.0,False
orion_hct116,t16,base,KHSRP,1.0,0.0625,False
orion_hct116,t16,base,KIF21B,0.4772727272727273,0.15384615384615385,False
orion_hct116,t16,base,KIF2A,0.05681818181818177,0.07692307692307693,False
orion_hct116,t16,base,LDLR,0.9242424242424242,0.009900990099009901,False
orion_hct116,t16,base,LENG1,0.3977272727272727,0.02127659574468085,False
orion_hct116,t16,base,LMAN1,0.6553030303030303,0.0,False
orion_hct116,t16,base,LMBRD2,0.7007575757575757,0.025,True
orion_hct116,t16,base,LPCAT3,0.5568181818181819,0.10256410256410256,False
orion_hct116,t16,base,MAP2K2,0.125,0.018867924528301886,False
orion_hct116,t16,base,MAPK7,0.6590909090909092,0.02,True
orion_hct116,t16,base,MARCKSL1,0.7234848484848485,0.0,False
orion_hct116,t16,base,MBD4,0.7272727272727273,0.02,False
orion_hct116,t16,base,MED13,0.08333333333333337,0.0,False
orion_hct116,t16,base,MED15,0.9962121212121212,0.0,True
orion_hct116,t16,base,MED25,0.9507575757575758,0.0,True
orion_hct116,t16,base,MLKL,0.696969696969697,0.0,False
orion_hct116,t16,base,MLLT10,0.5568181818181819,0.014925373134328358,True
orion_hct116,t16,base,MSANTD4,0.25,0.038834951456310676,False
orion_hct116,t16,base,MSI2,0.9053030303030303,0.02,False
orion_hct116,t16,base,MTA1,1.0,0.018518518518518517,False
orion_hct116,t16,base,MTF1,0.9848484848484849,0.02631578947368421,False
orion_hct116,t16,base,MTHFSD,0.8371212121212122,0.0,False
orion_hct116,t16,base,MTM1,0.8560606060606061,0.0,False
orion_hct116,t16,base,MYD88,0.5189393939393939,0.03333333333333333,True
orion_hct116,t16,base,MYPOP,0.6590909090909092,0.14705882352941177,False
orion_hct116,t16,base,MYRF,0.9848484848484849,0.0,False
orion_hct116,t16,base,NABP2,1.0,0.022727272727272728,True
orion_hct116,t16,base,NAIF1,0.9545454545454546,0.05357142857142857,True
orion_hct116,t16,base,NCLN,0.7954545454545454,0.0,False
orion_hct116,t16,base,NFE2L1,0.9356060606060606,0.2191780821917808,False
orion_hct116,t16,base,NGLY1,0.946969696969697,0.0,False
orion_hct116,t16,base,NIPAL3,0.6401515151515151,0.02,True
orion_hct116,t16,base,NT5DC1,0.8863636363636364,0.0,False
orion_hct116,t16,base,NUP37,0.8674242424242424,0.0,True
orion_hct116,t16,base,PAN2,0.9924242424242424,0.12307692307692308,True
orion_hct116,t16,base,PAPOLA,1.0,0.0,False
orion_hct116,t16,base,PARP3,0.9886363636363636,0.1261904761904762,True
orion_hct116,t16,base,PATL1,0.7159090909090908,0.018518518518518517,False
orion_hct116,t16,base,PBLD,1.0,0.08571428571428572,True
orion_hct116,t16,base,PCGF1,0.21590909090909094,0.041666666666666664,False
orion_hct116,t16,base,PCGF6,0.9659090909090909,0.28,False
orion_hct116,t16,base,PDCD4,0.11742424242424243,0.0,False
orion_hct116,t16,base,PDE6D,0.8143939393939394,0.021739130434782608,True
orion_hct116,t16,base,PDK1,0.8939393939393939,0.02857142857142857,False
orion_hct116,t16,base,PDK3,0.13636363636363635,0.0,False
orion_hct116,t16,base,PHF19,0.375,0.0,False
orion_hct116,t16,base,PHF23,0.928030303030303,0.12903225806451613,True
orion_hct116,t16,base,PHF8,1.0,0.08633093525179857,False
orion_hct116,t16,base,PI4KB,0.8825757575757576,0.0,False
orion_hct116,t16,base,PIM2,0.9431818181818182,0.0,False
orion_hct116,t16,base,PIN1,0.8068181818181819,0.0,False
orion_hct116,t16,base,PINK1,0.8863636363636364,0.029850746268656716,False
orion_hct116,t16,base,PLAGL2,0.28409090909090906,0.025,True
orion_hct116,t16,base,PLCG1,0.8522727272727273,0.015384615384615385,False
